path_id,time,asset_id,value
2,0.81,0,104.409
2,0.81,1,62.2741
2,0.81,2,92.0923
2,0.82,0,103.547
2,0.82,1,60.8628
2,0.82,2,95.5147
2,0.83,0,100.448
2,0.83,1,58.451
2,0.83,2,94.7332
2,0.84,0,99.9637
2,0.84,1,58.5201
2,0.84,2,96.7091
2,0.85,0,99.7444
2,0.85,1,58.4353
2,0.85,2,96.138
2,0.86,0,101.363
2,0.86,1,61.6214
2,0.86,2,96.15
2,0.87,0,100.907
2,0.87,1,62.1765
2,0.87,2,95.4574
2,0.88,0,99.0333
2,0.88,1,58.8613
2,0.88,2,96.9233
2,0.89,0,99.494
2,0.89,1,60.3634
2,0.89,2,95.6259
2,0.9,0,99.2469
2,0.9,1,61.2133
2,0.9,2,94.6256
2,0.91,0,98.3018
2,0.91,1,60.5983
2,0.91,2,95.2191
2,0.92,0,99.2721
2,0.92,1,61.9724
2,0.92,2,93.4628
2,0.93,0,100.254
2,0.93,1,66.4865
2,0.93,2,92.2175
2,0.94,0,96.8977
2,0.94,1,70.3165
2,0.94,2,87.5631
2,0.95,0,95.6556
2,0.95,1,73.7546
2,0.95,2,85.0613
2,0.96,0,91.4072
2,0.96,1,67.9531
2,0.96,2,85.3525
2,0.97,0,91.11
2,0.97,1,67.6944
2,0.97,2,85.6249
2,0.98,0,91.3836
2,0.98,1,66.3747
2,0.98,2,85.1174
2,0.99,0,90.276
2,0.99,1,65.8782
2,0.99,2,84.9945
2,1,0,91.9596
2,1,1,68.232
2,1,2,86.8228
3,0,0,100
3,0,1,50
3,0,2,75
3,0.01,0,100.315
3,0.01,1,51.5732
3,0.01,2,76.1619
3,0.02,0,100.681
3,0.02,1,52.4688
3,0.02,2,75.5587
3,0.03,0,100.19
3,0.03,1,51.9364
3,0.03,2,74.9327
3,0.04,0,97.8983
3,0.04,1,51.8694
3,0.04,2,73.4822
3,0.05,0,97.7617
3,0.05,1,53.2389
3,0.05,2,72.8086
3,0.06,0,98.2595
3,0.06,1,54.6576
3,0.06,2,71.6805
3,0.07,0,94.5895
3,0.07,1,54.0763
3,0.07,2,70.1515
3,0.08,0,94.1012
3,0.08,1,52.948
3,0.08,2,70.0834
3,0.09,0,93.5273
3,0.09,1,52.6645
3,0.09,2,71.0635
3,0.1,0,92.9173
3,0.1,1,51.4661
3,0.1,2,71.8697
3,0.11,0,93.8776
3,0.11,1,51.1441
3,0.11,2,71.7115
3,0.12,0,94.8454
3,0.12,1,54.0152
3,0.12,2,70.7035
3,0.13,0,98.5174
